CO_MUNICIPIO_GESTOR,QTLeitosSUS,QT_NaoSUS,QTLeitosExist,DVLeitos,EXTLeitosPediatrico,QTProfissionais,QTUnidades,QTCNES,DVtpunidade,DVcotpunidade,DVcotpestab,QTHospitais,QTClinicas,QTLaboratorios,QTConsultorios,QTUnidadesBasicas,Municipio,Mesoregiao,RegionaldeSaude,DensidadeDemografica_2010_,PopulacaoEstimada_2021_,IdadeMediaPop,PopRelPediatrica,PopRelIdoso,IDHM_2010_,PIBPerCapita_2020_,PacientesEnv,PacientesRec
220390,335.0,71.0,407.0,7.0,1.0,423.5,168.0,168.0,20.0,1.0,16.0,6.0,65.0,9.0,42.0,25.0,Floriano,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,16.92,60111,34.46,24.25,11.01,700,21866.04,321.5,999.0
220770,1370.0,342.0,1712.0,7.0,1.0,525.5,219.0,219.0,18.0,1.0,14.0,12.0,59.0,35.0,54.0,38.0,Parnaíba,Norte Piauiense,Planície Litorânea,334.51,153863,34.11,25.24,10.78,687,17021.64,1038.5,1651.5
220225,0.0,0.0,0.0,1.0,0.0,28.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,Canavieira,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1.81,3938,33.78,29.64,12.53,583,9918.17,14.0,0.0
220855,0.0,0.0,0.0,1.0,0.0,20.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,Porto Alegre do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2.19,2728,32.39,29.58,10.31,563,10612.27,8.0,0.0
220380,0.0,0.0,0.0,1.0,0.0,34.0,8.0,8.0,7.0,1.0,7.0,0.0,0.0,1.0,0.0,3.0,Flores do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4.61,4461,34.15,28.49,12.17,547,9890.89,16.5,0.0
220530,0.0,0.0,0.0,1.0,0.0,28.0,8.0,8.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,Jerumenha,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2.35,4443,34.43,27.41,12.77,591,10792.44,18.0,0.0
220410,0.0,0.0,0.0,1.0,0.0,31.0,10.0,10.0,8.0,1.0,7.0,0.0,1.0,1.0,0.0,4.0,Francisco Ayres,Centro Norte Piauiense,Vale Dos Rios Piauì E Itaueiras,6.82,4300,36.34,25.55,15.26,577,9856.56,15.0,0.0
220100,0.0,0.0,0.0,1.0,0.0,32.0,11.0,11.0,9.0,1.0,9.0,0.0,1.0,1.0,0.0,4.0,Arraial,Centro Norte Piauiense,Vale Dos Rios Piauì E Itaueiras,6.87,4713,33.35,29.14,11.75,560,9336.01,24.5,9.0
220170,0.0,0.0,0.0,1.0,0.0,34.0,11.0,11.0,7.0,1.0,6.0,0.0,0.0,1.0,0.0,5.0,Bertolínia,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4.34,5512,34.17,27.75,12.68,612,12631.63,24.5,0.0
220360,0.0,0.0,0.0,1.0,0.0,31.0,11.0,11.0,7.0,1.0,7.0,0.0,0.0,1.0,1.0,4.0,Eliseu Martins,Sudoeste Piauiense,Chapada Das Mangabeiras,4.28,4943,35.86,25.58,14.35,595,10497.9,12.0,0.0
220970,0.0,0.0,0.0,1.0,0.0,45.0,12.0,12.0,7.0,1.0,7.0,0.0,0.0,1.0,0.0,5.0,São Francisco do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4.7,6417,34.75,28.63,13.31,570,8823.96,25.5,0.0
