Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
220194,Boqueirão do Piauí,Centro Norte Piauiense,Carnaubais,6443,0.0,5.27,24.62,81.75,-4.28,21.47
220385,Floresta do Piauí,Sudeste Piauiense,Vale Do Canindè,2561,0.0,4.22,22.85,81.36,-1.33,21.42
220779,Pau D'Arco do Piauí,Centro Norte Piauiense,Entre Rios,4084,0.0,6.51,21.52,80.97,-2.21,21.36
220275,Colônia do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,6545,0.0,5.47,26.86,77.17,-2.88,21.32
220695,Novo Santo Antônio,Centro Norte Piauiense,Carnaubais,3014,0.0,7.05,22.08,79.72,-2.29,21.31
220207,Cajazeiras do Piauí,Sudeste Piauiense,Vale Do Canindè,3586,0.0,6.43,23.15,78.84,-1.92,21.3
220552,Júlio Borges,Sudoeste Piauiense,Chapada Das Mangabeiras,5653,0.0,7.17,25.13,77.86,-3.76,21.28
221093,Sussuapara,Sudeste Piauiense,Vale Do Rio Guaribas,6801,0.0,6.76,26.82,79.14,-6.35,21.27
220117,Barra D'Alcântara,Centro Norte Piauiense,Vale Do Sambito,3953,0.0,3.18,24.76,80.8,-2.51,21.25
220345,Dom Inocêncio,Sudoeste Piauiense,Serra Da Capivara,9574,0.0,7.5,23.72,79.02,-3.99,21.25
220915,Santa Cruz dos Milagres,Centro Norte Piauiense,Vale Do Sambito,4046,0.0,5.26,23.99,78.23,-1.7,21.16
220027,Alegrete do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,4921,0.0,5.69,25.71,76.68,-2.51,21.11
220559,Lagoa do Sítio,Centro Norte Piauiense,Vale Do Sambito,5219,0.0,8.29,22.71,78.55,-4.06,21.1
220342,Domingos Mourão,Centro Norte Piauiense,Cocais,4352,0.0,4.15,23.0,79.76,-1.48,21.09
220672,Nazária,Centro Norte Piauiense,Entre Rios,8632,0.0,6.22,27.21,77.75,-6.27,20.98
220340,Dom Expedito Lopes,Sudeste Piauiense,Vale Do Rio Guaribas,6940,0.0,6.14,27.53,74.48,-3.32,20.97
220855,Porto Alegre do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2728,3.57,3.92,23.23,75.11,-1.18,20.93
220995,São João da Varjota,Sudeste Piauiense,Vale Do Canindè,4856,0.0,6.28,23.32,77.72,-2.73,20.92
220208,Cajueiro da Praia,Norte Piauiense,Planície Litorânea,7704,0.0,6.82,25.6,75.92,-3.91,20.89
220551,Juazeiro do Piauí,Centro Norte Piauiense,Carnaubais,5491,0.0,5.38,24.3,77.31,-2.58,20.88
